evidence_source,split,sample_id,source_group,diagnosis_class,visual_classification,visual_reason,comparison_strip
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV104_00001_001_01,REAL_ENV104_00001,R1_FOGGING_OVER_ERASURE,STEP10_LOCAL_TRADEOFF_NOT_BETTER,Step10 removes more local content but turns the region into a foggy/empty surface and loses visible structure; high PSNR does not translate into reliable visual gain.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV104_00001_001_01/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV105_00004_001_01,REAL_ENV105_00004,R1_GOOD_LOCAL_IMPROVEMENT_NOT_DECISIVE,TIE_NO_MEANINGFUL_CHANGE,Step10 is nearly identical to Step0; numeric deltas are tiny.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV105_00004_001_01/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV104_00003_001_01,REAL_ENV104_00003,R1_WORSE,STEP10_SLIGHTLY_WORSE_OR_TRADEOFF,Step10 introduces local/global tradeoffs without a reliable quality gain.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV104_00003_001_01/step0_vs_step10_strip.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,R1_GOOD_BUT_OUTSIDE_BAD,VISIBLE_CHANGE_NOT_QUALITY_POSITIVE,"Step output differs from Step0, but compact review does not show a reliable quality gain.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_MOUNTAIN014_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_FOREST049_00001,BLENDER_FOREST049,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_FOREST049_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_OFFICE002_00001,BLENDER_OFFICE002,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_OFFICE002_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_RIVER005_00001,BLENDER_RIVER005,R1_GOOD_BUT_OUTSIDE_BAD,VISIBLE_CHANGE_NOT_QUALITY_POSITIVE,"Step output differs from Step0, but compact review does not show a reliable quality gain.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_RIVER005_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_GRASS001_00001,BLENDER_GRASS001,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_GRASS001_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_RIVER002_00001,BLENDER_RIVER002,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_RIVER002_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_MOUNTAIN008_00001,BLENDER_MOUNTAIN008,R1_GOOD_BUT_OUTSIDE_BAD,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_MOUNTAIN008_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_MOUNTAIN001_00001,BLENDER_MOUNTAIN001,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_MOUNTAIN001_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_RIVER004_00001,BLENDER_RIVER004,R1_GOOD_BUT_OUTSIDE_BAD,VISIBLE_CHANGE_NOT_QUALITY_POSITIVE,"Step output differs from Step0, but compact review does not show a reliable quality gain.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_RIVER004_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_MOUNTAIN011_00001,BLENDER_MOUNTAIN011,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_MOUNTAIN011_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_MOUNTAIN009_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_OFFICE003_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_SCHOOL004_00001,BLENDER_SCHOOL004,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_SCHOOL004_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_RIVER006_00001,BLENDER_RIVER006,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_RIVER006_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_STREET001_00001,BLENDER_STREET001,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_STREET001_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,BLENDER_RIVER012_00001,BLENDER_RIVER012,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/BLENDER_RIVER012_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV064_00001_001_01,REAL_ENV064_00001,R1_GOOD_LOCAL_IMPROVEMENT_NOT_DECISIVE,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV064_00001_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV059_00001_001_01,REAL_ENV059_00001,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV059_00001_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV100_00001_001_01,REAL_ENV100_00001,R1_WORSE,VISIBLE_CHANGE_NOT_QUALITY_POSITIVE,"Step output differs from Step0, but compact review does not show a reliable quality gain.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV100_00001_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV067_00001_001_01,REAL_ENV067_00001,R1_GOOD_BUT_OUTSIDE_BAD,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV067_00001_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV063_00001_001_01,REAL_ENV063_00001,R1_GOOD_BUT_BOUNDARY_BAD,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV063_00001_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV078_00001_001_01,REAL_ENV078_00001,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV078_00001_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV067_00002_001_01,REAL_ENV067_00002,R1_GOOD_BUT_OUTSIDE_BAD,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV067_00002_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV080_00002_001_01,REAL_ENV080_00002,R1_GOOD_LOCAL_IMPROVEMENT_NOT_DECISIVE,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV080_00002_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV068_00002_001_01,REAL_ENV068_00002,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV068_00002_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV082_00001_001_03,REAL_ENV082_00001,R1_GOOD_LOCAL_IMPROVEMENT_NOT_DECISIVE,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV082_00001_001_03/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV080_00003_001_01,REAL_ENV080_00003,R1_GOOD_LOCAL_IMPROVEMENT_NOT_DECISIVE,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV080_00003_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV084_00002_001_01,REAL_ENV084_00002,R1_GOOD_BUT_BOUNDARY_BAD,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV084_00002_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV086_00002_001_01,REAL_ENV086_00002,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV086_00002_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV086_00001_001_01,REAL_ENV086_00001,R1_GOOD_LOCAL_IMPROVEMENT_NOT_DECISIVE,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV086_00001_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV099_00001_001_01,REAL_ENV099_00001,R1_GOOD_BUT_BOUNDARY_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV099_00001_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,train,REAL_ENV087_00001_001_01,REAL_ENV087_00001,R1_WORSE,VISIBLE_CHANGE_NOT_QUALITY_POSITIVE,"Step output differs from Step0, but compact review does not show a reliable quality gain.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/train/REAL_ENV087_00001_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,heldout,BLENDER_RIVER016_00001,BLENDER_RIVER016,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/BLENDER_RIVER016_00001/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,heldout,BLENDER_STREET006_00002,BLENDER_STREET006,R1_GOOD_BUT_OUTSIDE_BAD,VISIBLE_CHANGE_NOT_QUALITY_POSITIVE,"Step output differs from Step0, but compact review does not show a reliable quality gain.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/BLENDER_STREET006_00002/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,heldout,REAL_ENV087_00002_001_01,REAL_ENV087_00002,R1_TIE,VISIBLE_CHANGE_NOT_QUALITY_POSITIVE,"Step output differs from Step0, but compact review does not show a reliable quality gain.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/REAL_ENV087_00002_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,heldout,REAL_ENV103_00001_001_01,REAL_ENV103_00001,R1_GOOD_BUT_BOUNDARY_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/REAL_ENV103_00001_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,heldout,REAL_ENV089_00001_001_01,REAL_ENV089_00001,R1_GOOD_LOCAL_IMPROVEMENT_NOT_DECISIVE,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/REAL_ENV089_00001_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,heldout,REAL_ENV103_00002_001_02,REAL_ENV103_00002,R1_GOOD_BUT_OUTSIDE_BAD,LOCAL_CHANGE_WITH_OUTSIDE_OR_GLOBAL_DAMAGE,"Visible/pixel change exists, but full/outside PSNR drops or global tone drifts; not a clean overfit improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/REAL_ENV103_00002_001_02/step0_vs_step_strip_16.jpg
