rank,dataset,video,category,why_suitable,baseline_problem,exp11_improvement,remaining_defect,delta_psnr,delta_mask_psnr,delta_lpips,delta_tc,paper_ready,side_by_side,contact_sheet
11,YouTubeVOS100,c5b94822e3,close-up texture / object,"top YouTubeVOS gain candidate: dPSNR=1.848, dSSIM=0.0086, dLPIPS=-0.0007",SFT-48000 在 close-up texture / object 场景的 mask 区域容易出现局部模糊、贴片感或边界过渡不自然。,Exp11 在该视频上 whole/mask PSNR 均提升 1.8475，说明外边界加权对补洞区域和上下文连续性有帮助。,该样本已通过 contact sheet sanity review，但仍建议在论文图中逐帧确认语义是否自然。,1.8475,1.8475,-0.0007,0.0000,yes,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/YouTubeVOS100__c5b94822e3.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/YouTubeVOS100__c5b94822e3_frames.jpg
12,YouTubeVOS100,b0313efe37,vehicle / street,"top YouTubeVOS gain candidate: dPSNR=1.781, dSSIM=0.0065, dLPIPS=-0.0030",SFT-48000 在 vehicle / street 场景的 mask 区域容易出现局部模糊、贴片感或边界过渡不自然。,Exp11 在该视频上 whole/mask PSNR 均提升 1.7815，说明外边界加权对补洞区域和上下文连续性有帮助。,该样本已通过 contact sheet sanity review，但仍建议在论文图中逐帧确认语义是否自然。,1.7815,1.7815,-0.0030,-0.0006,yes,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/YouTubeVOS100__b0313efe37.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/YouTubeVOS100__b0313efe37_frames.jpg
13,YouTubeVOS100,3e2336812c,large motion / landscape,"top YouTubeVOS gain candidate: dPSNR=1.682, dSSIM=0.0014, dLPIPS=-0.0005",SFT-48000 在 large motion / landscape 场景的 mask 区域容易出现局部模糊、贴片感或边界过渡不自然。,Exp11 在该视频上 whole/mask PSNR 均提升 1.6819，说明外边界加权对补洞区域和上下文连续性有帮助。,该样本已通过 contact sheet sanity review，但仍建议在论文图中逐帧确认语义是否自然。,1.6819,1.6819,-0.0005,0.0008,yes,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/YouTubeVOS100__3e2336812c.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/YouTubeVOS100__3e2336812c_frames.jpg
14,YouTubeVOS100,eda3a7bbb1,underwater / background texture,"top YouTubeVOS gain candidate: dPSNR=1.612, dSSIM=0.0120, dLPIPS=-0.0034",SFT-48000 在 underwater / background texture 场景的 mask 区域容易出现局部模糊、贴片感或边界过渡不自然。,Exp11 在该视频上 whole/mask PSNR 均提升 1.6117，说明外边界加权对补洞区域和上下文连续性有帮助。,该样本已通过 contact sheet sanity review，但仍建议在论文图中逐帧确认语义是否自然。,1.6117,1.6117,-0.0034,0.0016,yes,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/YouTubeVOS100__eda3a7bbb1.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/YouTubeVOS100__eda3a7bbb1_frames.jpg
15,YouTubeVOS100,af881cd801,plant / thin structure,"top YouTubeVOS gain candidate: dPSNR=1.645, dSSIM=0.0056, dLPIPS=-0.0010",SFT-48000 在 plant / thin structure 场景的 mask 区域容易出现局部模糊、贴片感或边界过渡不自然。,Exp11 在该视频上 whole/mask PSNR 均提升 1.6448，说明外边界加权对补洞区域和上下文连续性有帮助。,该样本已通过 contact sheet sanity review，但仍建议在论文图中逐帧确认语义是否自然。,1.6448,1.6448,-0.0010,-0.0006,yes,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/YouTubeVOS100__af881cd801.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/YouTubeVOS100__af881cd801_frames.jpg
16,YouTubeVOS100,f00dc892b2,person / low-light indoor,"top YouTubeVOS gain candidate: dPSNR=1.467, dSSIM=0.0051, dLPIPS=0.0031",SFT-48000 在 person / low-light indoor 场景的 mask 区域容易出现局部模糊、贴片感或边界过渡不自然。,Exp11 在该视频上 whole/mask PSNR 均提升 1.4670，说明外边界加权对补洞区域和上下文连续性有帮助。,该样本已通过 contact sheet sanity review，但仍建议在论文图中逐帧确认语义是否自然。 LPIPS 略差，作为定性图时需搭配 PSNR/SSIM 说明。,1.4670,1.4670,0.0031,0.0009,candidate,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/YouTubeVOS100__f00dc892b2.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/YouTubeVOS100__f00dc892b2_frames.jpg
17,YouTubeVOS100,966c4c022e,animal / occlusion,"top YouTubeVOS gain candidate: dPSNR=1.258, dSSIM=0.0051, dLPIPS=-0.0025",SFT-48000 在 animal / occlusion 场景的 mask 区域容易出现局部模糊、贴片感或边界过渡不自然。,Exp11 在该视频上 whole/mask PSNR 均提升 1.2583，说明外边界加权对补洞区域和上下文连续性有帮助。,该样本已通过 contact sheet sanity review，但仍建议在论文图中逐帧确认语义是否自然。,1.2583,1.2583,-0.0025,0.0025,candidate,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/YouTubeVOS100__966c4c022e.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/YouTubeVOS100__966c4c022e_frames.jpg
18,YouTubeVOS100,dcd3e1b53e,person / snow motion,"top YouTubeVOS gain candidate: dPSNR=1.292, dSSIM=0.0004, dLPIPS=-0.0003",SFT-48000 在 person / snow motion 场景的 mask 区域容易出现局部模糊、贴片感或边界过渡不自然。,Exp11 在该视频上 whole/mask PSNR 均提升 1.2923，说明外边界加权对补洞区域和上下文连续性有帮助。,该样本已通过 contact sheet sanity review，但仍建议在论文图中逐帧确认语义是否自然。,1.2923,1.2923,-0.0003,0.0004,candidate,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/YouTubeVOS100__dcd3e1b53e.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/YouTubeVOS100__dcd3e1b53e_frames.jpg
19,YouTubeVOS100,e0daa3b339,person / outdoor motion,"top YouTubeVOS gain candidate: dPSNR=1.238, dSSIM=0.0052, dLPIPS=-0.0011",SFT-48000 在 person / outdoor motion 场景的 mask 区域容易出现局部模糊、贴片感或边界过渡不自然。,Exp11 在该视频上 whole/mask PSNR 均提升 1.2375，说明外边界加权对补洞区域和上下文连续性有帮助。,该样本已通过 contact sheet sanity review，但仍建议在论文图中逐帧确认语义是否自然。,1.2375,1.2375,-0.0011,0.0031,candidate,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/YouTubeVOS100__e0daa3b339.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/YouTubeVOS100__e0daa3b339_frames.jpg
20,YouTubeVOS100,4c269afea9,water / long background,"top YouTubeVOS gain candidate: dPSNR=1.246, dSSIM=0.0030, dLPIPS=-0.0014",SFT-48000 在 water / long background 场景的 mask 区域容易出现局部模糊、贴片感或边界过渡不自然。,Exp11 在该视频上 whole/mask PSNR 均提升 1.2457，说明外边界加权对补洞区域和上下文连续性有帮助。,该样本已通过 contact sheet sanity review，但仍建议在论文图中逐帧确认语义是否自然。,1.2457,1.2457,-0.0014,0.0038,candidate,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/YouTubeVOS100__4c269afea9.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/YouTubeVOS100__4c269afea9_frames.jpg
